Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
0,12,2,linear,0.566602223,0.024359087,CMA-ES
1,11,2,linear,0.672382945,0.023184906,CMA-ES
2,10,2,linear,0.388417076,0.027567315,CMA-ES
3,11,2,linear,0.793434172,0.014927994,CMA-ES
4,11,2,linear,0.248026897,0.025309801,CMA-ES
5,5,2,linear,0.542612029,0.025239801,CMA-ES
6,12,2,linear,0.424420031,0.015053729,CMA-ES
7,12,2,linear,0.401066995,0.020065268,CMA-ES
8,12,2,linear,0.437149741,0.022586763,CMA-ES
9,12,2,linear,0.778219516,0.014741659,CMA-ES
10,7,2,linear,0.85365949,0.02377459,CMA-ES
11,11,2,linear,0.636918771,0.013900193,CMA-ES
12,12,2,linear,0.849493697,0.034651001,CMA-ES
13,12,2,linear,0.837500219,0.029003739,CMA-ES
14,18,2,linear,0.735821852,0.026532571,CMA-ES
15,6,2,linear,0.583331659,0.014079849,CMA-ES
16,9,2,linear,0.211709906,0.02848355,CMA-ES
17,16,2,linear,0.775385563,0.016666502,CMA-ES
18,17,2,linear,0.887288849,0.026954945,CMA-ES
19,19,2,linear,1.012903623,0.118178895,CMA-ES
20,15,2,linear,0.667741749,0.021542072,CMA-ES
21,12,2,linear,0.675158196,0.016674002,CMA-ES
22,14,2,linear,0.870616426,0.022076624,CMA-ES
23,17,2,linear,0.810692696,0.121590348,CMA-ES
24,14,2,linear,0.678791291,0.032503418,CMA-ES
25,10,2,linear,0.655030582,0.025771308,CMA-ES
26,16,2,linear,0.892660999,0.015834391,CMA-ES
27,9,2,linear,0.523263528,0.014472749,CMA-ES
28,9,2,linear,0.498175017,0.026806222,CMA-ES
29,18,2,linear,0.731984212,0.034344448,CMA-ES
30,8,2,linear,0.859190877,0.023911119,CMA-ES
31,19,2,linear,0.654692072,0.035024367,CMA-ES
32,15,2,linear,0.887969559,0.01935633,CMA-ES
33,6,2,linear,0.488646066,0.02269733,CMA-ES
34,11,2,linear,0.541079056,0.010071993,CMA-ES
35,19,2,linear,1.01145949,0.023390419,CMA-ES
36,12,2,linear,0.795168444,0.028441588,CMA-ES
37,9,2,linear,0.857789373,0.020452976,CMA-ES
38,7,2,linear,0.459688374,0.022160155,CMA-ES
39,15,2,linear,0.264385427,0.015929604,CMA-ES
40,10,2,linear,0.902695462,0.022344089,CMA-ES
41,10,2,linear,0.731970671,0.013910198,CMA-ES
42,12,2,linear,0.926057549,0.027492583,CMA-ES
43,11,2,linear,0.611999467,0.023175261,CMA-ES
44,8,2,linear,0.487580014,0.017670006,CMA-ES
45,15,2,linear,0.7926926,0.017071009,CMA-ES
46,8,2,linear,0.682924713,0.026859134,CMA-ES
47,7,2,linear,0.95541986,0.013293709,CMA-ES
48,9,2,linear,0.903113333,0.028875642,CMA-ES
49,17,2,linear,0.597404561,0.016851762,CMA-ES
50,9,2,linear,0.767638636,0.133743445,L-BFGS-B
51,7,2,linear,0.454295138,0.158407279,L-BFGS-B
52,12,2,linear,0.964946744,0.139664094,L-BFGS-B
53,13,2,linear,0.922279544,0.189251753,L-BFGS-B
54,11,2,linear,0.76965776,0.081805836,L-BFGS-B
55,10,2,linear,0.681316215,0.077878213,L-BFGS-B
56,14,2,linear,0.313490808,0.090541209,L-BFGS-B
57,11,2,linear,0.531454601,0.109744831,L-BFGS-B
58,10,2,linear,0.914517653,0.131347203,L-BFGS-B
59,18,2,linear,0.530491422,0.17315854,L-BFGS-B
60,7,2,linear,0.665794587,0.066034283,L-BFGS-B
61,16,2,linear,0.65301126,0.139114425,L-BFGS-B
62,12,2,linear,0.970883219,0.103306174,L-BFGS-B
63,10,2,linear,0.664556027,0.118235087,L-BFGS-B
64,17,2,linear,0.911529116,0.140756116,L-BFGS-B
65,5,2,linear,0.604584491,0.122993565,L-BFGS-B
66,12,2,linear,0.661903945,0.137289842,L-BFGS-B
67,11,2,linear,0.658934965,0.121657653,L-BFGS-B
68,14,2,linear,0.707575275,0.132117152,L-BFGS-B
69,19,2,linear,0.892686451,0.15582426,L-BFGS-B
70,11,2,linear,1.007716145,0.049475475,L-BFGS-B
71,12,2,linear,0.732383372,0.159409583,L-BFGS-B
72,9,2,linear,0.481963583,0.17566265,L-BFGS-B
73,12,2,linear,0.778525447,0.052623173,L-BFGS-B
74,15,2,linear,1.031719351,0.111866331,L-BFGS-B
75,5,2,linear,0.65271868,0.090833569,L-BFGS-B
76,14,2,linear,0.750610387,0.125610709,L-BFGS-B
77,12,2,linear,0.863185713,0.143701673,L-BFGS-B
78,13,2,linear,0.825788426,0.164294775,L-BFGS-B
79,9,2,linear,0.802907633,0.101979229,L-BFGS-B
80,7,2,linear,0.92621524,0.111101832,L-BFGS-B
81,13,2,linear,0.651145187,0.080220864,L-BFGS-B
82,14,2,linear,0.877365651,0.118274144,L-BFGS-B
83,15,2,linear,0.802382735,0.086529684,L-BFGS-B
84,8,2,linear,0.561001397,0.06302765,L-BFGS-B
85,5,2,linear,0.513934951,0.126711941,L-BFGS-B
86,6,2,linear,0.980315829,0.148574988,L-BFGS-B
87,11,2,linear,0.490670025,0.154380452,L-BFGS-B
88,9,2,linear,0.982232331,0.123623927,L-BFGS-B
89,13,2,linear,0.494393941,0.136497938,L-BFGS-B
90,12,2,linear,0.796288911,0.19751517,L-BFGS-B
91,7,2,linear,0.616816985,0.097891671,L-BFGS-B
92,6,2,linear,0.837890861,0.113300999,L-BFGS-B
93,15,2,linear,0.765609829,0.15227588,L-BFGS-B
94,10,2,linear,0.848141257,0.1840096,L-BFGS-B
95,12,2,linear,0.581805474,0.148116171,L-BFGS-B
96,13,2,linear,0.403936259,0.163680003,L-BFGS-B
97,15,2,linear,0.602187226,0.112369394,L-BFGS-B
98,9,2,linear,0.932018744,0.15472579,L-BFGS-B
99,13,2,linear,0.631166906,0.111215298,L-BFGS-B
100,5,2,Trig,0.818692347,0.021965647,CMA-ES
101,5,2,Trig,0.286064046,0.022603321,CMA-ES
102,20,2,Trig,0.637339597,0.017482293,CMA-ES
103,15,2,Trig,0.346998363,0.016770204,CMA-ES
104,17,2,Trig,0.493192113,0.014632001,CMA-ES
105,8,2,Trig,0.416813814,0.021753997,CMA-ES
106,8,2,Trig,0.600509629,0.012751251,CMA-ES
107,4,2,Trig,0.034791832,0.012623727,CMA-ES
108,9,2,Trig,0.128351083,0.01792166,CMA-ES
109,14,2,Trig,0.175676112,0.009435722,CMA-ES
110,10,2,Trig,0.338786553,0.025821114,CMA-ES
111,10,2,Trig,0.798625882,0.020124006,CMA-ES
112,8,2,Trig,0.241963535,0.018330872,CMA-ES
113,12,2,Trig,0.225686248,0.017684817,CMA-ES
