,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
0,18,2,Trig,0.397837632,0.216544098,CMA-ES
1,19,2,Trig,0.070927379,0.019678793,CMA-ES
2,10,2,Trig,0.094216646,0.005795741,CMA-ES
3,15,2,Trig,0.032062301,0.014291763,CMA-ES
4,11,2,Trig,0.366512805,0.021658269,CMA-ES
5,15,2,Trig,0.425194679,0.039770635,CMA-ES
6,11,2,Trig,0.011879809,0.005633159,CMA-ES
7,17,2,Trig,0.046568098,0.016990283,CMA-ES
8,9,2,Trig,0.517563554,0.022099601,CMA-ES
9,12,2,Trig,0.061337213,0.017868817,CMA-ES
10,13,2,Trig,0.445570336,0.03498303,CMA-ES
11,16,2,Trig,0.596266516,0.014262095,CMA-ES
12,18,2,Trig,0.02724186,0.038028876,CMA-ES
13,12,2,Trig,0.099642472,0.009328047,CMA-ES
14,7,2,Trig,0.019422223,0.017133066,CMA-ES
15,10,2,Trig,0.026489505,0.00999434,CMA-ES
16,15,2,Trig,0.013510118,0.026385005,CMA-ES
17,11,2,Trig,0.031630955,0.019988515,CMA-ES
18,20,2,Trig,0.03971279,0.043850648,CMA-ES
19,12,2,Trig,0.06162045,0.015714129,CMA-ES
20,15,2,Trig,0.084846868,0.022973347,CMA-ES
21,14,2,Trig,0.010448997,0.017051475,CMA-ES
22,16,2,Trig,0.374392375,0.212396473,CMA-ES
23,18,2,Trig,0.173746514,0.018081294,CMA-ES
24,7,2,Trig,0.017984577,0.010136604,CMA-ES
25,14,2,Trig,0.008660699,0.011778252,CMA-ES
26,14,2,Trig,0.078951725,0.018639922,CMA-ES
27,9,2,Trig,0.01208707,0.014016019,CMA-ES
28,9,2,Trig,0.025114953,0.017323494,CMA-ES
29,13,2,Trig,0.003966808,0.016452092,CMA-ES
30,14,2,Trig,0.040142266,0.153650914,CMA-ES
31,18,2,Trig,0.039589911,0.019786398,CMA-ES
32,11,2,Trig,0.006969691,0.018472693,CMA-ES
33,15,2,Trig,0.189329948,0.016543388,CMA-ES
34,15,2,Trig,0.100969031,0.041296784,CMA-ES
35,13,2,Trig,0.066332548,0.012299849,CMA-ES
36,13,2,Trig,0.041324124,0.012894851,CMA-ES
37,8,2,Trig,0.247414524,0.020177811,CMA-ES
38,9,2,Trig,0.061034359,0.00933928,CMA-ES
39,14,2,Trig,0.011846388,0.010636806,CMA-ES
40,16,2,Trig,0.0323561,0.02311185,CMA-ES
41,11,2,Trig,0.017241041,0.010085128,CMA-ES
42,9,2,Trig,0.015779403,0.008439594,CMA-ES
43,19,2,Trig,0.053837821,0.023591079,CMA-ES
44,11,2,Trig,0.020852171,0.00908572,CMA-ES
45,8,2,Trig,0.034903998,0.007662475,CMA-ES
46,8,2,Trig,0.09142271,0.010617465,CMA-ES
47,14,2,Trig,0.015565635,0.01956095,CMA-ES
48,9,2,Trig,0.076210282,0.011981646,CMA-ES
49,10,2,Trig,0.028620205,0.021815825,CMA-ES
