,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
0,17,4,trig,0.029489009120501100,0.0039642333984375,Bayes_s
1,22,4,trig,0.19041275269455900,0.0032176780700683600,Bayes_s
2,23,4,trig,0.0349615494435163,0.004499139785766600,Bayes_s
3,22,4,trig,0.46884493738692900,0.0030241966247558600,Bayes_s
4,25,4,trig,0.0696850885040088,0.0020639562606811500,Bayes_s
5,18,4,trig,0.1840710919393660,0.004106755256652830,Bayes_s
6,14,4,trig,0.41915224021206100,0.002593541145324710,Bayes_s
7,21,4,trig,0.11817882891443900,0.003977079391479490,Bayes_s
8,23,4,trig,0.11048552149131500,0.00286562442779541,Bayes_s
9,18,4,trig,0.14897843505539700,0.0038924598693847700,Bayes_s
10,20,4,trig,0.37116370414083100,0.0030597591400146500,Bayes_s
11,22,4,trig,0.055094171631237900,0.00327481746673584,Bayes_s
12,25,4,trig,0.19131809277325200,0.0035527372360229500,Bayes_s
13,21,4,trig,0.05791619684284750,0.0038024377822876000,Bayes_s
14,18,4,trig,0.17496359667807300,0.0038400840759277300,Bayes_s
15,15,4,trig,0.13099015963793300,0.0030353832244873000,Bayes_s
16,22,4,trig,0.029830660443695000,0.0039049577713012700,Bayes_s
17,15,4,trig,0.3627428563341510,0.0034680986404418900,Bayes_s
18,25,4,trig,0.7495985755845730,0.0039003610610961900,Bayes_s
19,20,4,trig,0.3441289102574590,0.0031664180755615200,Bayes_s
20,21,4,trig,0.10522970112698400,0.0024132633209228500,Bayes_s
21,22,4,trig,0.23282398831525600,0.0042482662200927700,Bayes_s
22,23,4,trig,0.10812940802972500,0.0029982614517211900,Bayes_s
23,20,4,trig,0.04223190143447970,0.004799900054931640,Bayes_s
24,15,4,trig,0.2337974796411920,0.003186097145080570,Bayes_s
25,16,4,trig,0.056699635142562900,0.0045438861846923800,Bayes_s
26,23,4,Power,0.12688439594869500,0.005170102119445800,Bayes_s
27,24,4,power,0.859000522231308,0.004186038970947270,Bayes_s
28,25,4,power,0.40309211322297300,0.0028507375717163100,Bayes_s
29,19,4,power,0.04228968718856560,0.004472360610961910,Bayes_s
30,14,4,power,0.35504531349117000,0.004664220809936520,Bayes_s
31,14,4,power,0.5493532696917220,0.002573237419128420,Bayes_s
32,15,4,power,0.6896355904268030,0.00433145523071289,Bayes_s
33,23,4,power,0.10717187126157800,0.003963479995727540,Bayes_s
34,24,4,power,0.16098918308228400,0.0036774587631225600,Bayes_s
35,17,4,power,0.1822842704190740,0.003092336654663090,Bayes_s
36,16,4,power,0.038751736209059500,0.0033876562118530300,Bayes_s
37,23,4,power,0.26971135558298700,0.006468663215637210,Bayes_s
38,25,4,power,0.2134183610964420,0.0029364013671875,Bayes_s
39,23,4,power,0.49528917978756200,0.0038074779510498000,Bayes_s
40,14,4,power,0.40951030237265600,0.0032532596588134800,Bayes_s
41,24,4,power,0.4579574378103490,0.004749283790588380,Bayes_s
42,22,4,power,0.32566067906009800,0.00355501651763916,Bayes_s
43,19,4,power,0.16583109125029200,0.0050090599060058600,Bayes_s
44,23,4,power,0.02533447108334030,0.004075961112976070,Bayes_s
45,24,4,power,0.08351075575581660,0.004025421142578130,Bayes_s
46,23,4,power,0.5678692540993470,0.004470739364624020,Bayes_s
47,16,4,power,0.5863762578536860,0.0034444665908813500,Bayes_s
48,24,4,power,0.6680860525553220,0.0038762807846069300,Bayes_s
49,18,4,power,0.3002246425976010,0.004517998695373540,Bayes_s
50,19,4,power,0.43208121535107400,0.004669075012207030,Bayes_s
51,20,4,power,0.1871492524711290,0.0034994220733642600,Bayes_s
52,17,4,power,0.47674561413495900,0.003432121276855470,Bayes_s
53,14,4,power,0.4952891752852690,0.004241781234741210,Bayes_s
54,16,4,power,0.08316732486814640,0.0037243986129760700,Bayes_s
55,16,4,power,0.6840307158502300,0.0033386993408203100,Bayes_s
56,17,4,power,0.5627416425257800,0.004151396751403810,Bayes_s
57,20,4,power,0.09185595324302320,0.004036459922790530,Bayes_s
58,22,4,power,0.17646408956253900,0.004370942115783690,Bayes_s
59,18,4,power,0.12055378994521000,0.0027920150756835900,Bayes_s
60,16,4,power,0.11728922396025300,0.004461073875427250,Bayes_s
61,16,4,power,0.20747469590281100,0.004639639854431150,Bayes_s
62,16,4,power,0.0010737425297908100,0.0026402759552002000,Bayes_s
63,21,4,linear,0.8921774439239880,0.002947254180908200,Bayes_s
64,23,4,linear,0.8361726872215240,0.003402080535888670,Bayes_s
65,22,4,linear,0.6161930816266720,0.002876877784729000,Bayes_s
66,16,4,linear,0.7346481206443510,0.0032732820510864300,Bayes_s
67,14,4,linear,0.786897738957033,0.0037645149230957000,Bayes_s
68,23,4,linear,0.3538843286075500,0.00271090030670166,Bayes_s
69,20,4,linear,0.4741652978931810,0.003166193962097170,Bayes_s
70,24,4,linear,0.44185759687587600,0.0037474966049194300,Bayes_s
71,19,4,linear,0.5079902154877620,0.0027493953704834000,Bayes_s
72,18,4,linear,0.6018783355910630,0.003063483238220220,Bayes_s
73,22,4,linear,0.5000571232720210,0.003370518684387210,Bayes_s
74,17,4,linear,0.9206093625042840,0.005889039039611820,Bayes_s
75,17,4,linear,0.6047685128645550,0.0050979995727539100,Bayes_s
76,15,4,linear,0.5186840702235430,0.005029315948486330,Bayes_s
77,16,4,linear,0.5121377432499330,0.00394899845123291,Bayes_s
78,22,4,linear,0.9011560322175260,0.004109816551208500,Bayes_s
79,23,4,linear,0.7045377125055380,0.004444537162780760,Bayes_s
80,15,4,linear,0.38249181077026500,0.0031928205490112300,Bayes_s
81,19,4,linear,0.5855453954248650,0.00516688346862793,Bayes_s
82,19,4,linear,0.5982615484214940,0.0035522842407226600,Bayes_s
83,19,4,linear,0.5373012662939530,0.003227701187133790,Bayes_s
84,14,4,linear,0.6912629955443850,0.0029596805572509800,Bayes_s
85,16,4,linear,0.5077509139723520,0.0045054244995117200,Bayes_s
86,22,4,linear,0.615372173149657,0.0033811187744140600,Bayes_s
87,25,4,linear,0.7562449413722140,0.003982682228088380,Bayes_s
88,16,4,linear,0.6382775034622280,0.0026874399185180700,Bayes_s
89,15,4,linear,0.8269579349797840,0.0031322240829467800,Bayes_s
90,17,4,linear,0.5911473209185420,0.003102102279663090,Bayes_s
91,14,4,linear,0.5639945822361770,0.003682861328125,Bayes_s
92,16,4,linear,0.8553942219810350,0.004228320121765140,Bayes_s
93,21,4,linear,0.8310150805438140,0.00331967830657959,Bayes_s
94,14,4,linear,0.7436993030960820,0.00322688102722168,Bayes_s
95,14,4,linear,0.4772754431649710,0.002949237823486330,Bayes_s
96,21,4,linear,0.20999466849461100,0.002615342140197750,Bayes_s
97,18,4,linear,0.3944491352964700,0.003191423416137700,Bayes_s
98,23,4,linear,0.5457177160601740,0.0037902164459228500,Bayes_s
99,17,4,linear,0.454460851517575,0.0029651546478271500,Bayes_s
100,19,4,linear,0.28089042940379600,0.0033961439132690400,Bayes_s
101,16,4,linear,0.7551956212415490,0.004629759788513180,Bayes_s
102,20,4,linear,0.7640502848003140,0.0040572738647460900,Bayes_s
103,23,4,linear,0.5038421794830260,0.0026223564147949200,Bayes_s
104,16,4,linear,0.44260151177981200,0.0046410799026489300,Bayes_s
105,25,4,linear,0.6635955584458960,0.002676420211791990,Bayes_s
106,20,4,linear,0.6914360544894590,0.0033354568481445300,Bayes_s
107,24,4,linear,0.5198217753912950,0.0034172391891479500,Bayes_s
108,18,4,linear,0.594358719867474,0.0023365259170532200,Bayes_s
109,17,4,linear,0.6806179966096570,0.003949737548828130,Bayes_s
110,23,4,linear,0.6620140951673710,0.0035872840881347700,Bayes_s
111,19,4,linear,0.910349582270881,0.0035630035400390600,Bayes_s
112,17,4,linear,0.8643527732847490,0.0035155963897705100,Bayes_s
113,21,4,linear,0.6277475173777950,0.0028157806396484400,Bayes_s
114,17,4,linear,0.5392841501961230,0.0031817626953125,Bayes_s
115,23,4,linear,0.7007134139375210,0.0038343191146850600,Bayes_s
116,14,4,linear,0.8414087392259160,0.0042238616943359400,Bayes_s
117,25,4,linear,0.40199967154118600,0.0032692193984985400,Bayes_s
118,22,4,linear,0.7035387867017020,0.0034929609298706100,Bayes_s
119,23,4,linear,0.7827058372613260,0.0032624197006225600,Bayes_s
120,21,4,linear,0.8117673940363310,0.0032361602783203100,Bayes_s
121,14,4,linear,0.515137897421345,0.0022767019271850600,Bayes_s
122,18,4,linear,0.3147025186602690,0.002580881118774410,Bayes_s
123,22,4,linear,0.8546333717328660,0.004502277374267580,Bayes_s
124,21,4,linear,0.7115944862860210,0.0034677410125732400,Bayes_s
125,24,4,linear,0.8731443862104420,0.004175076484680180,Bayes_s
126,14,4,linear,0.3537023669806720,0.004423823356628420,Bayes_s
127,16,4,linear,0.48488859119269700,0.003152437210083010,Bayes_s
128,16,4,linear,0.827788409053404,0.0038600587844848600,Bayes_s
129,17,2,linear,0.73,0.0025635957717895500,Bayes_s
130,18,2,linear,0.59,0.002612342834472660,Bayes_s
131,24,2,linear,0.855,0.0029143285751342800,Bayes_s
132,17,2,linear,0.645,0.0024664831161499000,Bayes_s
133,15,2,linear,0.68,0.0022844982147216800,Bayes_s
134,20,2,linear,0.8,0.0031429004669189500,Bayes_s
135,24,2,linear,0.665,0.0026273012161254900,Bayes_s
136,24,2,linear,0.745,0.004148244857788090,Bayes_s
137,18,2,linear,0.5,0.002677779197692870,Bayes_s
138,24,2,linear,0.785,0.004376845359802250,Bayes_s
139,15,2,linear,0.9,0.0035082054138183600,Bayes_s
140,14,2,linear,0.825,0.0030675601959228500,Bayes_s
141,17,2,linear,0.555,0.0021256208419799800,Bayes_s
142,22,2,linear,0.85,0.0021875619888305700,Bayes_s
143,21,2,linear,0.43,0.0029855442047119100,Bayes_s
144,23,2,linear,0.68,0.0027087974548339800,Bayes_s
145,22,2,linear,0.82,0.0023172378540039100,Bayes_s
