,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
0,17,4,trig,0.689836407,0.342264961,Bayes_s
1,13,4,trig,0.689836407,0.504985296,Bayes_s
2,11,4,trig,0.689836407,0.774107283,Bayes_s
3,14,4,trig,0.689836407,0.463845577,Bayes_s
4,17,4,trig,0.689836407,0.364359225,Bayes_s
5,11,4,trig,0.689836407,0.788298282,Bayes_s
6,10,4,trig,0.689836407,0.779358578,Bayes_s
7,14,4,trig,0.689836407,0.479809727,Bayes_s
8,20,4,trig,0.689836407,0.288832295,Bayes_s
9,14,4,trig,0.689836407,0.473988363,Bayes_s
10,8,4,trig,0.689836407,0.965170026,Bayes_s
11,10,4,trig,0.689836407,0.772521424,Bayes_s
12,13,4,trig,0.689836407,0.539156932,Bayes_s
13,17,4,trig,0.689836407,0.372164404,Bayes_s
14,11,4,trig,0.689836407,0.773638812,Bayes_s
15,10,4,trig,0.689836407,0.784752727,Bayes_s
16,11,4,trig,0.689836407,0.784407377,Bayes_s
17,11,4,trig,0.689836407,0.792423552,Bayes_s
18,14,4,trig,0.689836407,0.481539335,Bayes_s
19,18,4,trig,0.689836407,0.370065663,Bayes_s
20,11,4,trig,0.689836407,0.778984438,Bayes_s
21,17,4,trig,0.689836407,0.37012441,Bayes_s
22,10,4,trig,0.689836407,0.781168795,Bayes_s
23,13,4,trig,0.689836407,0.543192845,Bayes_s
24,17,4,trig,0.689836407,0.369089351,Bayes_s
25,11,4,trig,0.689836407,0.772691185,Bayes_s
26,8,4,trig,0.689836407,0.980872124,Bayes_s
27,13,4,trig,0.689836407,0.548311087,Bayes_s
28,20,4,trig,0.689836407,0.289910293,Bayes_s
29,14,4,trig,0.689836407,0.490421738,Bayes_s
30,11,4,trig,0.689836407,0.784462734,Bayes_s
31,15,4,power,0.999999998,0.445273336,Bayes_s
32,15,4,power,0.999999998,0.429934788,Bayes_s
33,14,4,power,0.999999998,0.499890072,Bayes_s
34,17,4,power,0.970299,0.392959174,Bayes_s
35,13,4,power,1,0.570814059,Bayes_s
36,13,4,power,1,0.55228215,Bayes_s
37,10,4,power,1,0.72390368,Bayes_s
38,14,4,power,0.999999998,0.534968427,Bayes_s
39,13,4,power,1,0.561080988,Bayes_s
40,11,4,power,1,0.725798173,Bayes_s
41,14,4,power,0.999999998,0.562870843,Bayes_s
42,20,4,power,0.970299002,0.354157352,Bayes_s
43,16,4,power,0.970299,0.457312062,Bayes_s
44,13,4,power,1,0.573977305,Bayes_s
45,9,4,power,0.999999997,1.027743578,Bayes_s
46,10,4,power,1,0.71960423,Bayes_s
47,15,4,power,0.999999998,0.466007805,Bayes_s
48,19,4,power,0.970299,0.378190994,Bayes_s
49,11,4,power,1,0.723133347,Bayes_s
50,8,4,power,1,1.220893115,Bayes_s
51,9,4,power,0.999999997,1.066402329,Bayes_s
52,10,4,power,1,0.775671411,Bayes_s
53,12,4,power,1,0.648605426,Bayes_s
54,12,4,power,1,0.645404935,Bayes_s
55,13,4,power,1,0.603675879,Bayes_s
56,10,4,power,1,0.784925699,Bayes_s
57,14,4,power,0.999999998,0.536133579,Bayes_s
58,16,4,power,0.970299,0.447217807,Bayes_s
59,13,4,power,1,0.583624381,Bayes_s
60,13,4,power,1,0.637336841,Bayes_s
61,18,4,power,0.970299,0.379547384,Bayes_s
62,9,4,power,0.999999997,1.033082909,Bayes_s
63,9,4,power,0.999999997,1.054016458,Bayes_s
64,8,4,power,1,1.221951872,Bayes_s
65,11,4,power,1,0.74842789,Bayes_s
66,12,4,power,1,0.676524242,Bayes_s
67,15,4,power,0.999999998,0.490547609,Bayes_s
68,17,4,power,0.970299,0.407669951,Bayes_s
69,10,4,power,1,0.741974902,Bayes_s
70,12,4,power,1,0.686871171,Bayes_s
71,11,4,power,1,0.779106639,Bayes_s
72,8,4,power,1,1.206227481,Bayes_s
73,19,4,power,0.970299,0.369218161,Bayes_s
74,18,4,power,0.970299,0.38157377,Bayes_s
75,10,4,power,1,0.748997116,Bayes_s
76,9,4,power,0.999999997,1.053820663,Bayes_s
77,10,4,power,1,0.735242295,Bayes_s
78,15,4,power,0.999999998,0.48394254,Bayes_s
79,14,4,power,0.999999998,0.550405281,Bayes_s
80,13,4,power,1,0.580256847,Bayes_s
81,17,4,linear,1,0.382450398,Bayes_s
82,17,4,linear,1,0.418886353,Bayes_s
83,14,4,linear,1,0.529087561,Bayes_s
84,11,4,linear,1,0.751950979,Bayes_s
85,4,4,linear,1,2.650876701,Bayes_s
86,12,4,linear,1,0.665770928,Bayes_s
87,16,4,linear,1,0.436746299,Bayes_s
88,16,4,linear,1,0.438724428,Bayes_s
89,12,4,linear,1,0.669309835,Bayes_s
90,13,4,linear,1,0.586746308,Bayes_s
91,17,4,linear,1,0.402597932,Bayes_s
92,14,4,linear,1,0.522871137,Bayes_s
93,7,4,linear,0.999687409,1.367843866,Bayes_s
94,14,4,linear,1,0.524368422,Bayes_s
95,17,4,linear,1,0.414395473,Bayes_s
96,10,4,linear,1,0.793474102,Bayes_s
97,10,4,linear,1,0.792423081,Bayes_s
98,6,4,linear,0.999687409,1.703432639,Bayes_s
99,14,4,linear,1,0.521124721,Bayes_s
100,18,4,linear,1,0.361661567,Bayes_s
101,8,4,linear,0.999687409,1.31127727,Bayes_s
102,18,4,linear,1,0.361978783,Bayes_s
103,17,4,linear,1,0.413512398,Bayes_s
104,16,4,linear,1,0.454632387,Bayes_s
105,9,4,linear,1,1.064265569,Bayes_s
106,10,4,linear,1,0.79715178,Bayes_s
107,12,4,linear,1,0.669944167,Bayes_s
108,19,4,linear,1,0.336100528,Bayes_s
109,12,4,linear,1,0.680444678,Bayes_s
110,4,4,linear,1,2.753299236,Bayes_s
111,14,4,linear,1,0.527910863,Bayes_s
112,13,4,linear,1,0.590731016,Bayes_s
113,11,4,linear,1,0.749263092,Bayes_s
114,8,4,linear,0.999687409,1.306953609,Bayes_s
115,7,4,linear,0.999687409,1.374535152,Bayes_s
116,14,4,linear,1,0.52692851,Bayes_s
117,10,4,linear,1,0.79567039,Bayes_s
118,12,4,linear,1,0.674421092,Bayes_s
119,15,4,linear,1,0.479472526,Bayes_s
120,8,4,linear,0.999687409,1.319385648,Bayes_s
121,10,4,linear,1,0.807561493,Bayes_s
122,10,4,linear,1,0.800545502,Bayes_s
123,10,4,linear,1,0.803961086,Bayes_s
124,14,4,linear,1,0.529508982,Bayes_s
125,16,4,linear,1,0.4473418,Bayes_s
126,12,4,linear,1,0.678392748,Bayes_s
127,15,4,linear,1,0.485571527,Bayes_s
128,16,4,linear,1,0.444938183,Bayes_s
129,8,4,linear,0.999687409,1.287925035,Bayes_s
130,10,4,linear,1,0.802022791,Bayes_s
131,14,2,trig,0.110211423,0.382757204,Bayes_s
132,14,2,trig,0.110211423,0.3753282,Bayes_s
133,13,2,trig,0.973531573,0.378181091,Bayes_s
134,19,2,trig,0.092305454,0.233580087,Bayes_s
135,19,2,trig,0.092305454,0.232068162,Bayes_s
136,11,2,trig,0.975548209,0.458020015,Bayes_s
137,15,2,trig,0.417502082,0.397192732,Bayes_s
138,16,2,trig,0.973531573,0.318793073,Bayes_s
139,14,2,trig,0.110211423,0.390515855,Bayes_s
140,18,2,trig,0.329665346,0.270437837,Bayes_s
141,13,2,trig,0.973531573,0.403237013,Bayes_s
142,18,2,trig,0.329665346,0.312617607,Bayes_s
143,14,2,trig,0.110211423,0.42629121,Bayes_s
144,5,2,trig,0.134074683,1.407327604,Bayes_s
145,11,2,trig,0.975548209,0.507324631,Bayes_s
146,6,2,trig,0.135860929,1.126847506,Bayes_s
147,5,2,trig,0.134074683,1.403057194,Bayes_s
148,10,2,trig,0.214481395,0.627522588,Bayes_s
149,13,2,trig,0.973531573,0.425354151,Bayes_s
150,5,2,trig,0.134074683,1.404405022,Bayes_s
151,10,2,trig,0.214481395,0.573780394,Bayes_s
152,8,2,trig,0.207533942,0.728849113,Bayes_s
153,6,2,trig,0.135860929,1.129729509,Bayes_s
154,10,2,trig,0.214481395,0.578771424,Bayes_s
155,10,2,trig,0.214481395,0.604922438,Bayes_s
156,15,2,trig,0.417502082,0.430028407,Bayes_s
157,12,2,trig,0.214481395,0.476497153,Bayes_s
158,9,2,trig,0.107198451,0.696210119,Bayes_s
159,12,2,trig,0.214481395,0.454515835,Bayes_s
160,16,2,trig,0.973531573,0.319545567,Bayes_s
161,16,2,trig,0.973531573,0.319736883,Bayes_s
162,4,2,trig,0.069845033,2.020312011,Bayes_s
163,13,2,trig,0.973531573,0.385192761,Bayes_s
164,8,2,trig,0.207533942,0.757878989,Bayes_s
165,14,2,trig,0.110211423,0.394748654,Bayes_s
166,13,2,trig,0.973531573,0.386561485,Bayes_s
167,17,2,trig,0.092305454,0.400622129,Bayes_s
168,18,2,trig,0.329665346,0.274412062,Bayes_s
169,13,2,trig,0.973531573,0.397547392,Bayes_s
170,9,2,trig,0.107198451,0.7221974,Bayes_s
171,7,2,trig,0.610020288,0.941107171,Bayes_s
172,13,2,trig,0.973531573,0.419508861,Bayes_s
173,6,2,trig,0.135860929,1.090691328,Bayes_s
174,9,2,trig,0.107198451,0.719903999,Bayes_s
175,10,2,trig,0.214481395,0.602724195,Bayes_s
176,15,2,trig,0.417502082,0.43517588,Bayes_s
177,14,2,trig,0.110211423,0.41978722,Bayes_s
178,14,2,trig,0.110211423,0.405177372,Bayes_s
179,17,2,trig,0.092305454,0.394218459,Bayes_s
180,18,2,trig,0.329665346,0.265036662,Bayes_s
181,12,2,power,1,0.433173239,Bayes_s
182,9,2,power,1,0.583298975,Bayes_s
183,6,2,power,1,0.914837321,Bayes_s
184,14,2,power,1,0.361388224,Bayes_s
185,8,2,power,1,0.703282028,Bayes_s
186,14,2,power,1,0.37400886,Bayes_s
187,8,2,power,1,0.710526109,Bayes_s
188,14,2,power,1,0.381331699,Bayes_s
189,13,2,power,1,0.416144536,Bayes_s
190,8,2,power,1,0.737961531,Bayes_s
191,11,2,power,1,0.529898969,Bayes_s
192,9,2,power,1,0.679620319,Bayes_s
193,6,2,power,1,1.077947815,Bayes_s
194,13,2,power,1,0.443732867,Bayes_s
195,19,2,power,1,0.277517996,Bayes_s
196,5,2,power,1,1.246168232,Bayes_s
197,9,2,power,1,0.668045653,Bayes_s
198,10,2,power,1,0.586136198,Bayes_s
199,15,2,power,1,0.363498465,Bayes_s
200,20,2,power,1,0.239139259,Bayes_s
201,19,2,power,1,0.257303577,Bayes_s
202,17,2,power,1,0.30716746,Bayes_s
203,6,2,power,1,1.055253983,Bayes_s
204,18,2,power,1,0.281838775,Bayes_s
205,12,2,power,1,0.493610183,Bayes_s
206,17,2,power,1,0.3158357,Bayes_s
207,6,2,power,1,1.029763659,Bayes_s
208,10,2,power,1,0.632014704,Bayes_s
209,20,2,power,1,0.241604209,Bayes_s
210,11,2,power,1,0.517027551,Bayes_s
211,15,2,power,1,0.352930005,Bayes_s
212,19,2,power,1,0.254272047,Bayes_s
213,9,2,power,1,0.637852907,Bayes_s
214,9,2,power,1,0.640023761,Bayes_s
215,9,2,power,1,0.644528468,Bayes_s
216,5,2,power,1,1.231074429,Bayes_s
217,11,2,power,1,0.519991181,Bayes_s
218,12,2,power,1,0.481888076,Bayes_s
219,5,2,power,1,1.246466398,Bayes_s
220,12,2,power,1,0.464292069,Bayes_s
221,8,2,power,1,0.741823882,Bayes_s
222,6,2,power,1,1.003784021,Bayes_s
223,10,2,power,1,0.57919929,Bayes_s
224,6,2,power,1,1.037084182,Bayes_s
225,11,2,power,1,0.539287459,Bayes_s
226,11,2,power,1,0.511799466,Bayes_s
227,10,2,power,1,0.581296587,Bayes_s
228,13,2,power,1,0.424401632,Bayes_s
229,13,2,power,1,0.422924225,Bayes_s
230,13,2,power,1,0.420014308,Bayes_s
231,8,2,linear,1,0.708070219,Bayes_s
232,8,2,linear,1,0.689662158,Bayes_s
233,17,2,linear,1,0.291028822,Bayes_s
234,12,2,linear,1,0.448079904,Bayes_s
235,8,2,linear,1,0.715331614,Bayes_s
236,13,2,linear,1,0.411199001,Bayes_s
237,16,2,linear,1,0.322207808,Bayes_s
238,20,2,linear,1,0.247361541,Bayes_s
239,6,2,linear,1,1.038586338,Bayes_s
240,13,2,linear,1,0.435455854,Bayes_s
241,8,2,linear,1,0.747199476,Bayes_s
242,5,2,linear,1,1.24046979,Bayes_s
243,9,2,linear,1,0.671286318,Bayes_s
244,6,2,linear,1,1.022113959,Bayes_s
245,10,2,linear,1,0.588422918,Bayes_s
246,17,2,linear,1,0.298053531,Bayes_s
247,9,2,linear,1,0.663265546,Bayes_s
248,7,2,linear,1,0.884649004,Bayes_s
249,9,2,linear,1,0.708268669,Bayes_s
250,19,2,linear,1,0.269107053,Bayes_s
251,12,2,linear,1,0.472445587,Bayes_s
252,15,2,linear,1,0.359881528,Bayes_s
253,11,2,linear,1,0.515832814,Bayes_s
254,13,2,linear,1,0.42092824,Bayes_s
255,11,2,linear,1,0.526301991,Bayes_s
256,9,2,linear,1,0.657671028,Bayes_s
257,15,2,linear,1,0.362667481,Bayes_s
258,15,2,linear,1,0.351783991,Bayes_s
